,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,ZRX-USD,380.2568729279675,15.0
1,ALGO-USD,SUSHI-USD,0.18330133313993127,4.0
2,ALGO-USD,CELO-USD,0.3512557923035346,18.0
3,ALGO-USD,LINK-USD,0.03383709390642327,16.0
4,ALGO-USD,ETC-USD,0.010316353474182183,24.0
5,ALGO-USD,XLM-USD,2.6112722507256154,11.0
6,ETH-USD,SOL-USD,71.97399852827886,4.0
7,ETH-USD,CRV-USD,1787.6119891426486,4.0
8,UMA-USD,ICP-USD,0.36782031086070754,21.0
9,UMA-USD,ZRX-USD,9.123587002018398,23.0
10,1INCH-USD,SUSHI-USD,0.38556238856373015,5.0
11,1INCH-USD,LINK-USD,0.07117341180831306,23.0
12,1INCH-USD,DOGE-USD,5.67124976393518,13.0
13,1INCH-USD,EOS-USD,0.4640328953037575,20.0
14,1INCH-USD,XLM-USD,5.492574598091593,13.0
15,SOL-USD,COMP-USD,0.45200805203794703,9.0
16,ADA-USD,SUSHI-USD,0.28101470639622206,9.0
17,ADA-USD,ATOM-USD,0.027983257605833606,8.0
18,ADA-USD,LINK-USD,0.05188876408680655,12.0
19,ADA-USD,DOGE-USD,4.1345702776927,9.0
20,ADA-USD,EOS-USD,0.3382668334632343,13.0
21,ADA-USD,MKR-USD,0.0005084404600681106,9.0
22,ADA-USD,UNI-USD,0.054140789448855704,7.0
23,ADA-USD,BCH-USD,0.00283372130943481,11.0
24,ADA-USD,XLM-USD,4.004162944285016,10.0
25,ENJ-USD,CRV-USD,0.4281236509073631,15.0
26,ENJ-USD,SNX-USD,0.16786331823422912,10.0
27,CRV-USD,SNX-USD,0.3910466574323916,24.0
28,SUSHI-USD,CELO-USD,1.9159642086600706,15.0
29,SUSHI-USD,XTZ-USD,1.247248147470216,18.0
30,SUSHI-USD,BTC-USD,5.9809086733585594e-05,19.0
31,SUSHI-USD,LINK-USD,0.1845584786077493,15.0
32,SUSHI-USD,ICP-USD,0.24603329997542872,20.0
33,SUSHI-USD,DOT-USD,0.21395696677562365,17.0
34,SUSHI-USD,ZRX-USD,6.101982686509856,19.0
35,SUSHI-USD,UNI-USD,0.19257459227349702,8.0
36,SUSHI-USD,ETC-USD,0.056267150932393,19.0
37,SUSHI-USD,BCH-USD,0.010078704817635346,12.0
38,SUSHI-USD,XLM-USD,14.242060194808545,10.0
39,FIL-USD,XTZ-USD,4.499533535675838,12.0
40,FIL-USD,ICP-USD,0.8877235462200368,11.0
41,FIL-USD,NEAR-USD,2.126143476226195,9.0
42,CELO-USD,DOT-USD,0.11146348216548668,11.0
43,ATOM-USD,LTC-USD,0.14234224836208617,22.0
44,ATOM-USD,BCH-USD,0.10125383594667789,12.0
45,XTZ-USD,BTC-USD,4.793505479056819e-05,7.0
46,XTZ-USD,ICP-USD,0.19721995828572175,5.0
47,XTZ-USD,DOT-USD,0.1714463174638604,7.0
48,XTZ-USD,NEAR-USD,0.4719959806739089,15.0
49,XTZ-USD,ZRX-USD,4.891564097591298,5.0
50,BTC-USD,DOT-USD,3576.0898000962943,8.0
51,BTC-USD,ZRX-USD,102022.30967992177,6.0
52,LINK-USD,DOGE-USD,79.67630510765977,4.0
53,LINK-USD,UNI-USD,1.04313870256382,7.0
54,LINK-USD,XMR-USD,0.03878304845705889,13.0
55,LINK-USD,BCH-USD,0.05459005601889311,18.0
56,LINK-USD,XLM-USD,77.1582072854829,7.0
57,YFI-USD,BCH-USD,55.35195563207298,17.0
58,ICP-USD,DOT-USD,0.8690408121790595,8.0
59,ICP-USD,NEAR-USD,2.392117063511881,17.0
60,ICP-USD,ZRX-USD,24.79545476806623,5.0
61,DOT-USD,ZRX-USD,28.520951647733096,7.0
62,DOGE-USD,MKR-USD,0.00012293278656198085,6.0
63,DOGE-USD,UNI-USD,0.013091524904903187,4.0
64,DOGE-USD,LTC-USD,0.0009635079100472672,10.0
65,DOGE-USD,BCH-USD,0.0006851369252076348,12.0
66,DOGE-USD,XLM-USD,0.9682511933457979,7.0
67,TRX-USD,MATIC-USD,0.06303862874669347,7.0
68,NEAR-USD,ZRX-USD,10.342319840512674,20.0
69,EOS-USD,UNI-USD,0.15998938676980903,7.0
70,EOS-USD,LTC-USD,0.011776094955498969,13.0
71,EOS-USD,XMR-USD,0.005948690143683253,13.0
72,EOS-USD,XLM-USD,11.833667131488031,10.0
73,MKR-USD,UNI-USD,106.45753414765223,7.0
74,MKR-USD,ETC-USD,31.10694462542942,17.0
75,MKR-USD,LTC-USD,7.834459836955094,14.0
76,MKR-USD,XMR-USD,3.956679137457017,19.0
77,MKR-USD,MATIC-USD,708.4052771586158,11.0
78,MKR-USD,BCH-USD,5.571584657429294,15.0
79,MKR-USD,RUNE-USD,409.1038748838743,19.0
80,UNI-USD,XMR-USD,0.03716301106017881,18.0
81,UNI-USD,BCH-USD,0.05233329683661366,8.0
82,UNI-USD,XLM-USD,73.94756041796934,7.0
83,ETC-USD,XMR-USD,0.12715810037009206,7.0
84,ETC-USD,XLM-USD,252.89052585347605,14.0
85,LTC-USD,XMR-USD,0.5050659962250843,7.0
86,LTC-USD,XLM-USD,1004.4811769374431,19.0
87,MATIC-USD,RUNE-USD,0.5774998894337116,9.0
